day_Actual,month_Actual,year_Actual,Actual Price,Actual Harvest Season,day_Predicted,month_Predicted,year_Predicted,Predicted Price,Predicted Harvest Season
30,3,2017,41.27,Unknown,30,3,2017,41.54476627580937,Unknown
31,3,2017,41.27,Unknown,31,3,2017,41.93761428571427,Unknown
1,4,2017,33.23760377141533,lean,1,4,2017,33.39825169598697,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,41.68,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
5,4,2017,45.95,lean,5,4,2017,41.41000081752321,lean
6,4,2017,41.68,lean,6,4,2017,41.690674999999935,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
7,4,2017,41.68,lean,7,4,2017,42.74985103771412,lean
13,4,2017,33.23760377141533,lean,13,4,2017,33.42780169598697,lean
14,4,2017,33.23760377141533,lean,14,4,2017,33.23760377141528,lean
20,4,2017,41.68,lean,20,4,2017,42.9133804821586,lean
22,4,2017,33.23760377141533,lean,22,4,2017,33.23760377141528,lean
25,4,2017,41.68,lean,25,4,2017,42.486691111111114,lean
27,4,2017,41.68,lean,27,4,2017,42.72351128787876,lean
28,4,2017,41.68,lean,28,4,2017,42.655202499999966,lean
29,4,2017,33.23760377141533,lean,29,4,2017,33.32202773370113,lean
1,5,2017,33.23760377141533,lean,1,5,2017,33.638335334844385,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
3,5,2017,42.52,lean,3,5,2017,42.32455382742816,lean
4,5,2017,42.52,lean,4,5,2017,42.44012603771415,lean
4,5,2017,42.52,lean,4,5,2017,42.44012603771415,lean
4,5,2017,42.52,lean,4,5,2017,42.44012603771415,lean
4,5,2017,42.52,lean,4,5,2017,42.44012603771415,lean
5,5,2017,47.38,lean,5,5,2017,42.224728113142454,lean
6,5,2017,33.23760377141533,lean,6,5,2017,33.33042773370113,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,42.52,lean,8,5,2017,40.70113822653675,lean
8,5,2017,47.38,lean,8,5,2017,40.70113822653675,lean
8,5,2017,47.38,lean,8,5,2017,40.70113822653675,lean
8,5,2017,47.38,lean,8,5,2017,40.70113822653675,lean
8,5,2017,47.38,lean,8,5,2017,40.70113822653675,lean
10,5,2017,42.52,lean,10,5,2017,42.630165000000005,lean
10,5,2017,42.52,lean,10,5,2017,42.630165000000005,lean
10,5,2017,47.38,lean,10,5,2017,42.630165000000005,lean
10,5,2017,47.38,lean,10,5,2017,42.630165000000005,lean
13,5,2017,33.23760377141533,lean,13,5,2017,33.23760377141528,lean
14,5,2017,33.23760377141533,lean,14,5,2017,33.35449440036779,lean
14,5,2017,33.23760377141533,lean,14,5,2017,33.35449440036779,lean
14,5,2017,33.23760377141533,lean,14,5,2017,33.35449440036779,lean
14,5,2017,33.23760377141533,lean,14,5,2017,33.35449440036779,lean
16,5,2017,42.52,lean,16,5,2017,43.972957857142866,lean
17,5,2017,47.38,lean,17,5,2017,42.5362,lean
18,5,2017,42.52,lean,18,5,2017,43.582392142857145,lean
19,5,2017,42.52,lean,19,5,2017,43.44106642857144,lean
20,5,2017,33.23760377141533,lean,20,5,2017,33.35449440036779,lean
21,5,2017,33.23760377141533,lean,21,5,2017,33.23760377141528,lean
23,5,2017,42.52,lean,23,5,2017,43.60141357142857,lean
25,5,2017,42.52,lean,25,5,2017,43.67457603771414,lean
25,5,2017,42.52,lean,25,5,2017,43.67457603771414,lean
25,5,2017,42.52,lean,25,5,2017,43.67457603771414,lean
25,5,2017,42.52,lean,25,5,2017,43.67457603771414,lean
31,5,2017,42.52,lean,31,5,2017,44.2587157142857,lean
1,6,2017,42.86,Unknown,1,6,2017,42.61266144647581,Unknown
2,6,2017,42.86,Unknown,2,6,2017,44.15437972582973,Unknown
3,6,2017,33.23760377141533,Unknown,3,6,2017,33.347994400367796,Unknown
4,6,2017,33.23760377141533,Unknown,4,6,2017,33.334627733701126,Unknown
